,Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate,full_address,geocode
2002,71B ELDRIDGE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1.0,08/06/2011 07:00:00 AM +0000,Open,Unspecified,,986285.0,200435.0,"71B ELDRIDGE STREET, NEW YORK, NEW YORK","(40.71684399999999, -73.992921)"
2027,716 LEXINGTON AVENUE,MANHATTAN,05 MANHATTAN,Precinct 18,4.0,08/08/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,992895.0,216680.0,"716 LEXINGTON AVENUE, NEW YORK, NEW YORK","(40.761527, -73.968992)"
2041,713 WASHINGTON STREET,MANHATTAN,02 MANHATTAN,Precinct 6,3.0,06/28/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,981927.0,207150.0,"713 WASHINGTON STREET, NEW YORK, NEW YORK","(40.7352801, -74.0082712)"
2050,712 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 18,3.0,05/27/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,987136.0,217112.0,"712 9 AVENUE, NEW YORK, NEW YORK","(40.7625, -73.98925299999999)"
2054,711 WASHINGTON STREET,MANHATTAN,02 MANHATTAN,Precinct 6,3.0,06/28/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,981925.0,207124.0,"711 WASHINGTON STREET, NEW YORK, NEW YORK","(40.7352441, -74.0084186)"
2068,710 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 18,3.0,05/27/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,987125.0,217092.0,"710 9 AVENUE, NEW YORK, NEW YORK","(40.762437, -73.989299)"
2079,70 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,06/28/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,999672.0,233389.0,"70 WEST 125 STREET, NEW YORK, NEW YORK","(40.807231, -73.944957)"
2081,70 WEST 106 STREET,MANHATTAN,07 MANHATTAN,Precinct 24,8.0,07/07/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,994738.0,230346.0,"70 WEST 106 STREET, NEW YORK, NEW YORK","(40.798813, -73.962597)"
2085,70 PRINCE STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,07/28/2011 07:00:00 AM +0000,Open,Unspecified,,985113.0,202993.0,"70 PRINCE STREET, NEW YORK, NEW YORK","(40.7236974, -73.9969864)"
2086,70 PARK TERRACE EAST,MANHATTAN,12 MANHATTAN,Precinct 34,7.0,08/17/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1007400.0,256483.0,"70 PARK TERRACE EAST, NEW YORK, NEW YORK","(40.8707132, -73.9161858)"
2098,708 WEST 177 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,07/06/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1001307.0,248090.0,"708 WEST 177 STREET, NEW YORK, NEW YORK","(40.847491, -73.9388479)"
