,Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate,full_address,geocode
9303,2127 7 AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,07/18/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,998750.0,234357.0,"2127 7 AVENUE, NEW YORK, NEW YORK","(40.8098839, -73.9475507)"
9312,2125 1 AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,8.0,04/21/2011 07:00:00 AM +0000,Open,Unspecified,,1001280.0,227751.0,"2125 1 AVENUE, NEW YORK, NEW YORK","(40.791891, -73.93876999999999)"
9354,211 EAST 64 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,4.0,04/29/2011 07:00:00 AM +0000,Open,Unspecified,,994279.0,217799.0,"211 EAST 64 STREET, NEW YORK, NEW YORK","(40.7643001, -73.9633638)"
9355,211 EAST 64 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,4.0,05/03/2011 07:00:00 AM +0000,Open,Unspecified,,994279.0,217799.0,"211 EAST 64 STREET, NEW YORK, NEW YORK","(40.7643001, -73.9633638)"
9410,210 WEST 153 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,9.0,11/17/2010 08:00:00 AM +0000,Open,Unspecified,,1002034.0,240517.0,"210 WEST 153 STREET, NEW YORK, NEW YORK","(40.8268686, -73.93586189999999)"
9412,210 SIXTH AVENUE,MANHATTAN,02 MANHATTAN,Precinct 1,3.0,04/21/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,983324.0,204210.0,"210 SIXTH AVENUE, NEW YORK, NEW YORK","(40.7272182, -74.0031245)"
9425,2109 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,04/07/2011 07:00:00 AM +0000,Open,Unspecified,,1001251.0,244441.0,"2109 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.8375399, -73.9384236)"
9435,210 6 AVENUE,MANHATTAN,02 MANHATTAN,Precinct 1,3.0,05/04/2011 07:00:00 AM +0000,Open,Unspecified,,983324.0,204210.0,"210 6 AVENUE, NEW YORK, NEW YORK","(40.7272182, -74.0031245)"
9444,2104 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,05/04/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1001216.0,244391.0,"2104 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.8375265, -73.938841)"
9475,20 PELL STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1.0,01/17/2011 08:00:00 AM +0000,Open,Unspecified,,984761.0,199718.0,"20 PELL STREET, NEW YORK, NEW YORK","(40.7149815, -73.99802199999999)"
9485,20 BOWERY,MANHATTAN,03 MANHATTAN,Precinct 5,1.0,01/17/2011 08:00:00 AM +0000,Open,Unspecified,,985065.0,199655.0,"20 BOWERY, NEW YORK, NEW YORK","(40.714796, -73.997387)"
9489,209 WADSWORTH AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,07/11/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1002552.0,249456.0,"209 WADSWORTH AVENUE, NEW YORK, NEW YORK","(40.851244, -73.93356299999999)"
9508,2095 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,05/04/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1001142.0,244247.0,"2095 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.8370291, -73.938795)"
9519,2090 7 AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,9.0,05/13/2011 07:00:00 AM +0000,Open,Unspecified,,998484.0,233890.0,"2090 7 AVENUE, NEW YORK, NEW YORK","(40.8086963, -73.9488705)"
